mu[1,1] mu[1,2] mu[2,1] mu[2,2] tau[1,1,1] tau[1,2,1] tau[2,1,1] tau[2,2,1] tau[1,1,2] tau[1,2,2] tau[2,1,2] tau[2,2,2] probdiff predOne[1] predOne[2] predTwo[1] predTwo[2]
0.552370027790249 1.4241112523285 0.955907565292458 0.58427637007154 82.1134370139224 -48.9865998587146 -48.9865998587146 33.427895746849 37.8904545657632 -61.8532588453101 -61.8532588453101 137.322567989231 0.00407807180805577 0.480973689767673 0.839219272295443 1.38972169078305 0.417255593722043
0.545903903758979 1.44268932267104 0.951484738566002 0.591049660364436 86.7342743355994 -53.7783509890865 -53.7783509890865 38.2300853809763 36.3760513554722 -60.0433436472808 -60.0433436472808 129.928840278979 0.00288925358469072 0.878232327148451 1.52440730726129 1.61262570023275 0.636604947012301
0.591931944355994 1.43351851643507 0.999736677267864 0.575570771083222 76.8047704842922 -47.6036532627632 -47.6036532627632 33.773641627035 32.3955666287927 -50.4073248726842 -50.4073248726842 111.167081217484 0.000482108160707433 0.882755240381841 1.26206656588591 1.93480387788167 0.758531966450263
0.567185023720701 1.42387894381637 0.978006031902204 0.573112473571957 83.0436784591983 -52.3448980324068 -52.3448980324068 37.6083744774164 32.9463897131052 -49.6785580326915 -49.6785580326915 107.827887993006 0.000785154677020647 0.412658211570968 0.739316730766988 1.30590719773551 0.498709556820266
0.573482219138322 1.42198303825842 0.984397096391557 0.577553987157884 79.0419764210006 -48.5228485438887 -48.5228485438887 34.3023422928777 35.262344295138 -57.9968428693539 -57.9968428693539 128.022405842385 0.0042341907546093 0.876238295927613 1.43078854828632 1.43842904369016 0.59939914137441
0.5633650342181 1.41567154614401 0.962006470084009 0.570039055239448 86.9850109994826 -53.8058913587553 -53.8058913587553 37.5682102637423 36.0341734784078 -61.7555044446575 -61.7555044446575 139.087703847242 0.0107824634551614 0.791510128107957 1.27856124650958 1.52869620749977 0.682125071477263
0.57041720099691 1.42928203370428 0.973454110879996 0.589844327226604 87.9584126363703 -55.3957578076812 -55.3957578076812 39.2250890835335 33.6878535170847 -54.5516718450076 -54.5516718450076 126.805150670909 0.00151527278418375 0.663937873386102 1.14599416865042 1.09195216589326 0.527747689258839
0.582155967965464 1.4289264473464 1.00730645376486 0.579069553065076 85.015660884846 -51.5560861614886 -51.5560861614886 35.6445905990381 35.6864446944612 -55.2562130927329 -55.2562130927329 123.901675547813 0.00365950550498931 0.496395629130985 0.847691716578032 1.51037980917516 0.713366233189102
0.573828914996234 1.42310156862124 0.975283233950327 0.581163467561721 71.9245099863778 -44.7260414209949 -44.7260414209949 32.4276493955917 29.5247125941147 -49.0448188073799 -49.0448188073799 121.149438632684 0.00975608253985644 0.80505485410305 1.27281279526099 1.64524996630505 0.567950400900244
0.569292995298378 1.46044097306309 0.972095892880149 0.594881869731644 82.4199746236865 -49.4073075333902 -49.4073075333902 33.6631226822374 38.9305139207509 -66.5007411364973 -66.5007411364973 149.951955292474 0.00855762997170694 0.48959718812538 0.819402975043871 1.97814531468341 0.878374084583614
0.56374650662249 1.39723798467609 0.976865785591586 0.565489750219509 82.9876966667564 -50.1759136185746 -50.1759136185746 34.774135477867 33.7845776765324 -51.792863802869 -51.792863802869 114.159507160656 0.00639829471139882 0.592834472711147 0.967813731342318 1.39767227518964 0.640945310248073
0.556808437640234 1.45526463147472 0.958887706653182 0.590332208279765 73.269001779068 -46.5347118087327 -46.5347118087327 34.2061220583711 36.0009452633182 -55.8037829360631 -55.8037829360631 119.102949885366 0.0202833412193953 0.963906771854768 1.20247720934544 0.985440157552385 0.232358036690159
0.55358330905199 1.437423382491 0.951447457008121 0.576609188839734 79.2343618544861 -48.1780875093251 -48.1780875093251 33.8907255724115 34.4234671295845 -57.3785602066172 -57.3785602066172 129.612461990671 0.000499815458320523 0.700001779168001 1.15260809729181 1.42284578666757 0.428579181923933
0.565453455693098 1.40870651495911 0.968296512029169 0.574154558119549 84.6537268867142 -52.7768771832024 -52.7768771832024 37.3575545617583 44.6148876944159 -68.8546465050342 -68.8546465050342 139.431717538387 0.000546980210170138 0.720502019172877 1.48872818637608 1.09170196590047 0.600947576850581
0.566192095858299 1.42354015118328 0.972899961309755 0.570292163065677 78.5131159529764 -47.5788027097689 -47.5788027097689 33.0447019923435 33.027545523815 -56.8167694595078 -56.8167694595078 135.390360670113 0.00115139637863835 1.24241324079732 1.83512909837521 1.39724389836898 0.65420238691721
0.602321612933906 1.46231622120085 1.02138587343032 0.591350516684625 83.2794427531927 -50.9258251608942 -50.9258251608942 35.8324717167862 36.5958917117568 -58.4941227637089 -58.4941227637089 124.516287477805 0.000191376652443591 0.438219911061034 0.746274058857056 1.19346848725548 0.533033395511529
0.578981206947636 1.44247117823786 0.995816647693159 0.580670209332804 85.1590743913213 -52.0110643658071 -52.0110643658071 36.0132355087503 38.1577347902019 -64.0506873924505 -64.0506873924505 148.391281273203 0.00428331546630238 0.589140406846535 0.85206173028083 0.953630275668273 0.370551843323021
